ID,VOICED/UNVOICED,SPEAKER,OWNER,
336,1,1,Kuba,
337,1,1,Kuba,
338,1,1,Kuba,
339,1,1,Kuba,
340,0,,Kuba,
341,0,,Kuba,
342,1,1,Kuba,
343,1,1,Kuba,
344,1,1,Kuba,
345,1,1,Kuba,
346,1,1,Kuba,
347,1,1,Kuba,
348,1,1,Kuba,
349,1,1,Kuba,
350,1,1,Kuba,
351,1,1,Kuba,
352,1,1,Kuba,
353,1,1,Kuba,
354,1,1,Kuba,
355,1,1,Kuba,
356,1,1,Kuba,
357,1,1,Kuba,
358,1,1,Kuba,
359,1,1,Kuba,
360,1,1,Kuba,
361,1,1,Kuba,
362,1,1,Kuba,
363,1,1,Kuba,
364,1,1,Kuba,
365,1,1,Kuba,
366,1,1,Kuba,
367,1,1,Kuba,
368,0,,Kuba,
369,1,1,Kuba,
370,1,1,Kuba,
371,1,1,Kuba,
372,1,1,Kuba,
373,1,1,Kuba,
374,1,1,Kuba,
375,1,1,Kuba,
376,1,1,Kuba,
377,1,1,Kuba,
378,1,1,Kuba,
379,1,1,Kuba,
380,1,1,Kuba,
381,0,,Kuba,
382,1,1,Kuba,
383,1,1,Kuba,
384,1,1,Kuba,
385,1,1,Kuba,
386,1,1,Kuba,
387,1,1,Kuba,
388,1,1,Kuba,
389,0,,Kuba,
390,1,1,Kuba,
391,1,1,Kuba,
392,1,1,Kuba,
393,1,1,Kuba,
394,1,1,Kuba,
395,1,1,Kuba,
396,1,1,Kuba,
397,1,1,Kuba,
398,1,1,Kuba,
399,1,1,Kuba,
400,0,,Kuba,
401,0,,Kuba,
402,0,,Kuba,
403,0,,Kuba,
404,1,1,Kuba,
405,1,1,Kuba,
406,1,1,Kuba,
407,1,1,Kuba,
408,1,1,Kuba,
409,1,1,Kuba,
410,1,1,Kuba,
411,1,1,Kuba,
412,1,1,Kuba,
413,1,1,Kuba,
414,1,1,Kuba,
415,1,1,Kuba,
416,1,1,Kuba,
417,1,1,Kuba,
418,1,1,Kuba,
419,1,1,Kuba,
420,1,1,Kuba,
421,1,1,Kuba,
422,1,1,Kuba,
423,1,1,Kuba,
424,1,1,Kuba,
425,1,1,Kuba,
426,1,1,Kuba,
427,1,1,Kuba,
428,1,1,Kuba,
429,1,1,Kuba,
430,1,1,Kuba,
431,1,1,Kuba,
432,1,1,Kuba,
433,1,1,Kuba,
434,1,1,Kuba,
435,1,1,Kuba,
436,1,1,Kuba,
437,1,1,Kuba,
438,1,1,Kuba,
439,1,1,Kuba,
440,1,1,Kuba,
441,1,1,Kuba,
442,1,1,Kuba,
443,1,1,Kuba,
444,1,1,Kuba,
445,1,1,Kuba,
446,1,1,Kuba,
447,1,1,Kuba,
448,0,,Kuba,
449,1,1,Kuba,
450,1,1,Kuba,
451,1,1,Kuba,
452,1,1,Kuba,
453,1,1,Kuba,
454,1,1,Kuba,
455,1,1,Kuba,
456,1,1,Kuba,
457,1,1,Kuba,
458,1,1,Kuba,
459,1,1,Kuba,
460,1,1,Kuba,
461,1,1,Kuba,
462,1,1,Kuba,
463,1,1,Kuba,
464,1,1,Kuba,
465,1,1,Kuba,
466,1,1,Kuba,
467,1,1,Kuba,
468,1,1,Kuba,
469,1,1,Kuba,
470,1,1,Kuba,
471,1,1,Kuba,
472,1,1,Kuba,
473,1,1,Kuba,
474,1,1,Kuba,
475,1,1,Kuba,
476,1,1,Kuba,
477,1,1,Kuba,
478,1,1,Kuba,
479,1,1,Kuba,
480,1,1,Kuba,
481,1,1,Kuba,
482,1,1,Kuba,
483,1,1,Kuba,
484,1,1,Kuba,
485,0,,Kuba,
486,1,1,Kuba,
487,1,1,Kuba,
488,1,1,Kuba,
489,1,1,Kuba,
490,1,1,Kuba,
491,1,1,Kuba,
492,1,1,Kuba,
493,1,1,Kuba,
494,1,1,Kuba,
495,1,1,Kuba,
496,1,1,Kuba,
497,0,,Kuba,
498,1,1,Kuba,
499,1,1,Kuba,
500,1,1,Kuba,
501,1,1,Kuba,
502,1,1,Kuba,
503,1,1,Kuba,
504,1,1,Kuba,
505,1,1,Kuba,
506,1,1,Kuba,
507,1,1,Kuba,
508,1,1,Kuba,
509,0,,Kuba,
510,1,1,Kuba,
511,1,1,Kuba,
512,1,1,Kuba,
513,1,1,Kuba,
514,1,1,Kuba,
515,1,1,Kuba,
516,1,1,Kuba,
517,1,1,Kuba,
518,1,1,Kuba,
519,1,1,Kuba,
520,1,1,Kuba,
521,1,1,Kuba,
522,1,1,Kuba,
523,1,1,Kuba,
524,1,1,Kuba,
525,1,1,Kuba,
526,1,1,Kuba,
527,1,1,Kuba,
528,1,1,Kuba,
529,1,1,Kuba,
530,1,1,Kuba,
531,1,1,Kuba,
532,1,1,Kuba,
533,1,1,Kuba,
534,1,1,Kuba,
535,1,1,Kuba,
536,1,1,Kuba,
537,1,1,Kuba,
538,1,1,Kuba,
539,1,1,Kuba,
540,1,1,Kuba,
541,0,,Kuba,
542,0,,Kuba,
543,0,,Kuba,
544,1,1,Kuba,
545,1,1,Kuba,
546,1,1,Kuba,
547,1,1,Kuba,
548,1,1,Kuba,
549,1,1,Kuba,
550,1,1,Kuba,
551,1,1,Kuba,
552,1,1,Kuba,
553,1,1,Kuba,
554,1,1,Kuba,
555,1,1,Kuba,
556,1,1,Kuba,
557,1,1,Kuba,
558,1,1,Kuba,
559,1,1,Kuba,
560,1,1,Kuba,
561,1,1,Kuba,
562,1,1,Kuba,
563,2,1,Kuba,
564,0,,Kuba,
565,0,,Kuba,
566,2,1,Kuba,
567,1,1,Kuba,
568,1,1,Kuba,
569,1,1,Kuba,
570,1,1,Kuba,
571,1,1,Kuba,
572,1,1,Kuba,
573,1,1,Kuba,
574,1,1,Kuba,
575,1,1,Kuba,
576,2,1,Kuba,
577,1,1,Kuba,
578,1,1,Kuba,
579,1,1,Kuba,
580,1,1,Kuba,
581,1,1,Kuba,
582,1,1,Kuba,
583,1,1,Kuba,
584,1,1,Kuba,
585,0,,Kuba,
586,1,1,Kuba,
587,1,1,Kuba,
588,1,1,Kuba,
589,1,1,Kuba,
590,1,1,Kuba,
591,1,1,Kuba,
592,1,1,Kuba,
593,1,1,Kuba,
594,1,1,Kuba,
595,1,1,Kuba,
596,1,1,Kuba,
597,1,1,Kuba,
598,1,1,Kuba,
599,1,1,Kuba,
600,1,1,Kuba,
601,1,1,Kuba,
602,0,,Kuba,
603,1,1,Kuba,
604,1,1,Kuba,
605,1,1,Kuba,
606,1,1,Kuba,
607,1,1,Kuba,
608,1,1,Kuba,
609,1,1,Kuba,
610,1,1,Kuba,
611,1,1,Kuba,
612,1,1,Kuba,
613,1,1,Kuba,
614,1,1,Kuba,
615,1,1,Kuba,
616,1,1,Kuba,
617,0,,Kuba,
618,1,1,Kuba,
619,1,1,Kuba,
620,1,1,Kuba,
621,1,1,Kuba,
622,1,1,Kuba,
623,1,1,Kuba,
624,1,1,Kuba,
625,1,1,Kuba,
626,1,1,Kuba,
627,0,,Kuba,
628,0,,Kuba,
629,1,1,Kuba,
630,1,1,Kuba,
631,1,1,Kuba,
632,1,1,Kuba,
633,1,1,Kuba,
634,1,1,Kuba,
635,1,1,Kuba,
636,1,1,Kuba,
637,1,1,Kuba,
638,1,1,Kuba,
639,1,1,Kuba,
640,1,1,Kuba,
641,1,1,Kuba,
642,1,1,Kuba,
643,1,1,Kuba,
644,1,1,Kuba,
645,1,1,Kuba,
646,1,1,Kuba,
647,1,1,Kuba,
648,1,1,Kuba,
649,2,1,Kuba,
650,0,,Kuba,
651,2,1,Kuba,
652,1,1,Kuba,
653,1,1,Kuba,
654,1,1,Kuba,
655,1,1,Kuba,
656,1,1,Kuba,
657,1,1,Kuba,
658,1,1,Kuba,
659,1,1,Kuba,
660,1,1,Kuba,
661,1,1,Kuba,
662,1,1,Kuba,
663,1,1,Kuba,
664,1,1,Kuba,
665,1,1,Kuba,
666,1,1,Kuba,
667,1,1,Kuba,
668,1,1,Kuba,
669,1,1,Kuba,
670,1,1,Kuba,
671,1,1,Kuba,
672,1,1,Kuba,
673,1,1,Kuba,
674,1,1,Kuba,
675,1,1,Kuba,
676,1,1,Kuba,
677,1,1,Kuba,
678,1,1,Kuba,
679,1,1,Kuba,
680,1,1,Kuba,
681,1,1,Kuba,
682,1,1,Kuba,
683,1,1,Kuba,
684,1,1,Kuba,
685,1,1,Kuba,
686,1,1,Kuba,
687,1,1,Kuba,
688,1,1,Kuba,
689,1,1,Kuba,
690,1,1,Kuba,
691,1,1,Kuba,
692,1,1,Kuba,
693,1,1,Kuba,
694,1,1,Kuba,
695,1,1,Kuba,
696,1,1,Kuba,
697,1,1,Kuba,
698,1,1,Kuba,
699,0,,Kuba,
700,1,1,Kuba,
701,1,1,Kuba,
702,1,1,Kuba,
703,1,1,Kuba,
704,1,1,Kuba,
705,0,,Kuba,
706,2,1,Kuba,
707,1,1,Kuba,
708,1,1,Kuba,
709,1,1,Kuba,
710,1,1,Kuba,
711,1,1,Kuba,
712,1,1,Kuba,
713,1,1,Kuba,
714,1,1,Kuba,
715,2,1,Kuba,
716,1,1,Kuba,
717,1,1,Kuba,
718,1,1,Kuba,
719,1,1,Kuba,
720,1,1,Kuba,
721,1,1,Kuba,
722,1,1,Kuba,
723,1,1,Kuba,
724,1,1,Kuba,
725,1,1,Kuba,
726,1,1,Kuba,
727,1,1,Kuba,
728,1,1,Kuba,
729,1,1,Kuba,
730,1,1,Kuba,
731,1,1,Kuba,
732,1,1,Kuba,
733,1,1,Kuba,
734,1,1,Kuba,
735,1,1,Kuba,
736,1,1,Kuba,
737,1,1,Kuba,
738,1,1,Kuba,
739,1,1,Kuba,
740,1,1,Kuba,
741,1,1,Kuba,
742,1,1,Kuba,
743,1,1,Kuba,
744,1,1,Kuba,
745,1,1,Kuba,
746,1,1,Kuba,
747,0,,Kuba,
748,1,1,Kuba,
749,1,1,Kuba,
750,1,1,Kuba,
751,1,1,Kuba,
752,1,1,Kuba,
753,0,,Kuba,
754,1,1,Kuba,
755,1,1,Kuba,
756,1,1,Kuba,
757,1,1,Kuba,
758,1,1,Kuba,
759,1,1,Kuba,
760,1,1,Kuba,
761,1,1,Kuba,
762,1,1,Kuba,
763,1,1,Kuba,
764,1,1,Kuba,
765,1,1,Kuba,
766,1,1,Kuba,
767,1,1,Kuba,
768,1,1,Kuba,
769,1,1,Kuba,
770,1,1,Kuba,
771,1,1,Kuba,
772,0,,Kuba,
773,1,1,Kuba,
774,1,1,Kuba,
775,1,1,Kuba,
776,1,1,Kuba,
777,1,1,Kuba,
778,1,1,Kuba,
779,1,1,Kuba,
780,1,1,Kuba,
781,1,1,Kuba,
782,0,,Kuba,
783,1,1,Kuba,
784,1,1,Kuba,
785,1,1,Kuba,
786,1,1,Kuba,
787,0,,Kuba,
788,1,1,Kuba,
789,1,1,Kuba,
790,1,1,Kuba,
791,1,1,Kuba,
792,1,1,Kuba,
793,1,1,Kuba,
794,1,1,Kuba,
795,1,1,Kuba,
796,1,1,Kuba,
797,1,1,Kuba,
798,1,1,Kuba,
799,1,1,Kuba,
800,1,1,Kuba,
801,1,1,Kuba,
802,0,,Kuba,
803,0,,Kuba,
804,0,,Kuba,
805,1,1,Kuba,
806,1,1,Kuba,
807,1,1,Kuba,
808,1,1,Kuba,
809,2,1,Kuba,
810,1,1,Kuba,
811,1,1,Kuba,
812,1,1,Kuba,
813,1,1,Kuba,
814,1,1,Kuba,
815,0,,Kuba,
816,1,1,Kuba,
817,0,,Kuba,
818,1,1,Kuba,
819,1,1,Kuba,
820,1,1,Kuba,
821,1,1,Kuba,
822,1,1,Kuba,
823,1,1,Kuba,
824,1,1,Kuba,
825,1,1,Kuba,
826,1,1,Kuba,
827,1,1,Kuba,
828,1,1,Kuba,
829,1,1,Kuba,
830,1,1,Kuba,
831,1,1,Kuba,
832,1,1,Kuba,
833,1,1,Kuba,
834,1,1,Kuba,
835,1,1,Kuba,
836,1,1,Kuba,
837,1,1,Kuba,
838,1,1,Kuba,
839,1,1,Kuba,
840,1,1,Kuba,
841,1,1,Kuba,
842,1,1,Kuba,
843,1,1,Kuba,
844,1,1,Kuba,
845,1,1,Kuba,
846,1,1,Kuba,
847,2,1,Kuba,
848,2,1,Kuba,
849,1,1,Kuba,
850,1,1,Kuba,
851,1,1,Kuba,
852,1,1,Kuba,
853,1,1,Kuba,
854,2,1,Kuba,
855,1,1,Kuba,
856,1,1,Kuba,
857,1,1,Kuba,
858,1,1,Kuba,
859,1,1,Kuba,
860,1,1,Kuba,
861,1,1,Kuba,
862,1,1,Kuba,
863,1,1,Kuba,
864,1,1,Kuba,
865,1,1,Kuba,
866,1,1,Kuba,
867,0,,Kuba,
868,0,,Kuba,
869,1,1,Kuba,
870,1,1,Kuba,
871,1,1,Kuba,
872,1,1,Kuba,
873,0,,Kuba,
874,1,1,Kuba,
875,1,1,Kuba,
876,1,1,Kuba,
877,1,1,Kuba,
878,1,1,Kuba,
879,1,1,Kuba,
880,1,1,Kuba,
881,1,1,Kuba,
882,1,1,Kuba,
883,1,1,Kuba,
884,1,1,Kuba,
885,1,1,Kuba,
886,1,1,Kuba,
887,1,1,Kuba,
888,1,1,Kuba,
889,1,1,Kuba,
890,1,1,Kuba,
891,1,1,Kuba,
892,1,1,Kuba,
893,1,1,Kuba,
894,1,1,Kuba,
895,1,1,Kuba,
896,1,1,Kuba,
897,1,1,Kuba,
898,1,1,Kuba,
899,1,1,Kuba,
900,1,1,Kuba,
901,1,1,Kuba,
902,1,1,Kuba,
903,1,1,Kuba,
904,1,1,Kuba,
905,1,1,Kuba,
906,0,,Kuba,
907,0,,Kuba,
908,1,1,Kuba,
909,1,1,Kuba,
910,1,1,Kuba,
911,1,1,Kuba,
912,1,1,Kuba,
913,2,1,Kuba,
914,1,1,Kuba,
915,1,1,Kuba,
916,1,1,Kuba,
917,1,1,Kuba,
918,1,1,Kuba,
919,1,1,Kuba,
920,1,1,Kuba,
921,1,1,Kuba,
922,1,1,Kuba,
923,0,,Kuba,
924,0,,Kuba,
925,2,1,Kuba,
926,1,1,Kuba,
927,1,1,Kuba,
928,1,1,Kuba,
929,0,,Kuba,
930,1,1,Kuba,
931,1,1,Kuba,
932,1,1,Kuba,
933,1,1,Kuba,
934,1,1,Kuba,
935,1,1,Kuba,
936,1,1,Kuba,
937,1,1,Kuba,
938,2,1,Kuba,
939,1,1,Kuba,
940,1,1,Kuba,
941,1,1,Kuba,
942,1,1,Kuba,
943,1,1,Kuba,
944,1,1,Kuba,
945,1,1,Kuba,
946,1,1,Kuba,
947,1,1,Kuba,
948,1,1,Kuba,
949,1,1,Kuba,
950,1,1,Kuba,
951,1,1,Kuba,
952,1,1,Kuba,
953,1,1,Kuba,
954,1,1,Kuba,
955,2,1,Kuba,
956,0,,Kuba,
957,0,,Kuba,
958,1,1,Kuba,
959,1,1,Kuba,
960,1,1,Kuba,
961,0,,Kuba,
962,1,1,Kuba,
963,1,1,Kuba,
964,1,1,Kuba,
965,1,1,Kuba,
966,1,1,Kuba,
967,1,1,Kuba,
968,1,1,Kuba,
969,1,1,Kuba,
970,1,1,Kuba,
971,1,1,Kuba,
972,1,1,Kuba,
973,1,1,Kuba,
974,1,1,Kuba,
975,1,1,Kuba,
976,1,1,Kuba,
977,1,1,Kuba,
978,1,1,Kuba,
979,1,1,Kuba,
980,1,1,Kuba,
981,1,1,Kuba,
982,1,1,Kuba,
983,1,1,Kuba,
984,1,1,Kuba,
985,1,1,Kuba,
986,1,1,Kuba,
987,1,1,Kuba,
988,1,1,Kuba,
989,1,1,Kuba,
990,1,1,Kuba,
991,1,1,Kuba,
992,1,1,Kuba,
993,1,1,Kuba,
994,1,1,Kuba,
995,1,1,Kuba,
996,1,1,Kuba,
997,1,1,Kuba,
998,1,1,Kuba,
999,1,1,Kuba,
1000,1,1,Kuba,
1001,1,1,Kuba,
1002,1,1,Kuba,
1003,1,1,Kuba,
1004,1,1,Kuba,
1005,1,1,Kuba,
1006,1,1,Kuba,
1007,1,1,Kuba,
1008,0,,Kuba,
1009,0,,Kuba,
1010,1,1,Kuba,
1011,1,1,Kuba,
1012,1,1,Kuba,
1013,2,1,Kuba,
1014,0,,Kuba,
1015,1,1,Kuba,
1016,1,1,Kuba,
1017,1,1,Kuba,
1018,1,1,Kuba,
1019,1,1,Kuba,
1020,1,1,Kuba,
1021,1,1,Kuba,
1022,1,1,Kuba,
1023,1,1,Kuba,
1024,2,1,Kuba,
1025,2,1,Kuba,
1026,1,1,Kuba,
1027,1,1,Kuba,
1028,0,,Kuba,
1029,1,1,Kuba,
1030,1,1,Kuba,
1031,1,1,Kuba,
1032,1,1,Kuba,
1033,1,1,Kuba,
1034,1,1,Kuba,
1035,1,1,Kuba,
1036,1,1,Kuba,
1037,1,1,Kuba,
1038,1,1,Kuba,
1039,2,1,Kuba,
1040,1,1,Kuba,
1041,1,1,Kuba,
1042,1,1,Kuba,
1043,1,1,Kuba,
1044,1,1,Kuba,
1045,1,1,Kuba,
1046,1,1,Kuba,
1047,1,1,Kuba,
1048,1,1,Kuba,
1049,1,1,Kuba,
1050,1,1,Kuba,
1051,1,1,Kuba,
1052,0,,Kuba,
1053,0,,Kuba,
1054,1,1,Kuba,
1055,1,1,Kuba,
1056,1,1,Kuba,
1057,1,1,Kuba,
1058,1,1,Kuba,
1059,1,1,Kuba,
1060,1,1,Kuba,
1061,1,1,Kuba,
1062,1,1,Kuba,
1063,1,1,Kuba,
1064,1,1,Kuba,
1065,1,1,Kuba,
1066,1,1,Kuba,
1067,1,1,Kuba,
1068,1,1,Kuba,
1069,1,1,Kuba,
1070,1,1,Kuba,
1071,1,1,Kuba,
1072,1,1,Kuba,
1073,1,1,Kuba,
1074,1,1,Kuba,
1075,1,1,Kuba,
1076,1,1,Kuba,
1077,1,1,Kuba,
1078,1,1,Kuba,
1079,1,1,Kuba,
1080,1,1,Kuba,
1081,1,1,Kuba,
1082,1,1,Kuba,
1083,1,1,Kuba,
1084,1,1,Kuba,
1085,1,1,Kuba,
1086,1,1,Kuba,
1087,1,1,Kuba,
1088,1,1,Kuba,
1089,1,1,Kuba,
1090,1,1,Kuba,
1091,1,1,Kuba,
1092,1,1,Kuba,
1093,2,1,Kuba,
1094,1,1,Kuba,
1095,1,1,Kuba,
1096,1,1,Kuba,
1097,1,1,Kuba,
1098,1,1,Kuba,
1099,1,1,Kuba,
1100,1,1,Kuba,
1101,1,1,Kuba,
1102,1,1,Kuba,
1103,1,1,Kuba,
1104,1,1,Kuba,
1105,1,1,Kuba,
1106,1,1,Kuba,
1107,1,1,Kuba,
1108,1,1,Kuba,
1109,1,1,Kuba,
1110,0,,Kuba,
1111,1,1,Kuba,
1112,1,1,Kuba,
1113,1,1,Kuba,
1114,1,1,Kuba,
1115,1,1,Kuba,
1116,1,1,Kuba,
1117,1,1,Kuba,
1118,1,1,Kuba,
1119,1,1,Kuba,
1120,1,1,Kuba,
1121,1,1,Kuba,
1122,1,1,Kuba,
1123,1,1,Kuba,
1124,1,1,Kuba,
1125,1,1,Kuba,
1126,1,1,Kuba,
1127,1,1,Kuba,
1128,1,1,Kuba,
1129,1,1,Kuba,
1130,1,1,Kuba,
1131,1,1,Kuba,
1132,1,1,Kuba,
1133,1,1,Kuba,
1134,1,1,Kuba,
1135,1,1,Kuba,
1136,1,1,Kuba,
1137,1,1,Kuba,
1138,1,1,Kuba,
1139,1,1,Kuba,
1140,1,1,Kuba,
1141,1,1,Kuba,
1142,1,1,Kuba,
1143,1,1,Kuba,
1144,1,1,Kuba,
1145,0,,Kuba,
1146,2,1,Kuba,
1147,1,1,Kuba,
1148,1,1,Kuba,
1149,1,1,Kuba,
1150,1,1,Kuba,
1151,1,1,Kuba,
1152,1,1,Kuba,
1153,1,1,Kuba,
1154,1,1,Kuba,
1155,1,1,Kuba,
1156,1,1,Kuba,
